<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
EUR_RUB__TOM,60,20160401,110000,76.1690000,76.6290000,76.1000000,76.4850000,31636000
EUR_RUB__TOM,60,20160401,120000,76.5160000,76.6100000,76.3870000,76.4850000,27041000
EUR_RUB__TOM,60,20160401,130000,76.4740000,77.0950000,76.4500000,77.0700000,47670000
EUR_RUB__TOM,60,20160401,140000,77.1000000,77.5380000,76.9500000,77.5190000,40424000
EUR_RUB__TOM,60,20160401,150000,77.5420000,77.9000000,77.4500000,77.7190000,30662000
EUR_RUB__TOM,60,20160401,160000,77.7280000,77.8000000,77.3210000,77.8000000,54913000
EUR_RUB__TOM,60,20160401,170000,77.8490000,77.9350000,77.4680000,77.5800000,30446000
EUR_RUB__TOM,60,20160401,180000,77.5830000,77.6080000,77.1320000,77.1400000,17918000
EUR_RUB__TOM,60,20160401,190000,77.1240000,77.3490000,77.0770000,77.3490000,10470000
EUR_RUB__TOM,60,20160401,200000,77.3490000,77.3710000,76.8400000,76.9730000,8675000
EUR_RUB__TOM,60,20160401,210000,76.9590000,76.9590000,76.6010000,76.8690000,5295000
EUR_RUB__TOM,60,20160401,220000,76.8600000,77.0390000,76.7690000,76.9500000,649000
EUR_RUB__TOM,60,20160401,230000,76.8900000,76.9240000,76.6490000,76.9110000,1175000
EUR_RUB__TOM,60,20160402,000000,76.8510000,77.0750000,76.8500000,76.9240000,1233000
EUR_RUB__TOM,60,20160404,110000,77.7300000,78.4440000,77.5300000,78.3000000,50695000
EUR_RUB__TOM,60,20160404,120000,78.3200000,78.3440000,77.9220000,77.9820000,33746000
EUR_RUB__TOM,60,20160404,130000,77.9800000,78.0080000,77.5000000,77.5660000,56845000
EUR_RUB__TOM,60,20160404,140000,77.5800000,77.8070000,77.5300000,77.6130000,16052000
EUR_RUB__TOM,60,20160404,150000,77.6000000,77.6800000,77.4070000,77.4400000,74116000
EUR_RUB__TOM,60,20160404,160000,77.4160000,77.6800000,77.1000000,77.4500000,42540000
EUR_RUB__TOM,60,20160404,170000,77.4600000,77.8070000,77.4350000,77.5890000,35501000
EUR_RUB__TOM,60,20160404,180000,77.5890000,77.6930000,77.2290000,77.5790000,110453000
EUR_RUB__TOM,60,20160404,190000,77.5690000,77.8020000,77.5500000,77.6310000,18679000
EUR_RUB__TOM,60,20160404,200000,77.5810000,77.9470000,77.5810000,77.8900000,5854000
EUR_RUB__TOM,60,20160404,210000,77.9270000,78.0340000,77.8000000,78.0000000,4377000
EUR_RUB__TOM,60,20160404,220000,78.0300000,78.2890000,78.0120000,78.1000000,3288000
EUR_RUB__TOM,60,20160404,230000,78.1200000,78.2500000,78.0740000,78.2500000,760000
EUR_RUB__TOM,60,20160405,000000,78.2210000,78.3000000,78.1720000,78.3000000,2080000
EUR_RUB__TOM,60,20160405,110000,78.4890000,78.6270000,78.0510000,78.2850000,45886000
EUR_RUB__TOM,60,20160405,120000,78.3130000,78.4430000,77.9610000,78.0500000,34163000
EUR_RUB__TOM,60,20160405,130000,78.0130000,78.5100000,78.0010000,78.4400000,32716000
EUR_RUB__TOM,60,20160405,140000,78.4500000,78.5270000,78.2460000,78.3060000,23626000
EUR_RUB__TOM,60,20160405,150000,78.2960000,78.4580000,78.1550000,78.4200000,22684000
EUR_RUB__TOM,60,20160405,160000,78.4260000,78.8670000,78.3900000,78.8520000,33566000
EUR_RUB__TOM,60,20160405,170000,78.8580000,78.9270000,78.5900000,78.7700000,50219000
EUR_RUB__TOM,60,20160405,180000,78.7700000,78.8440000,78.4930000,78.8200000,26760000
EUR_RUB__TOM,60,20160405,190000,78.8150000,78.8850000,78.6650000,78.8090000,16168000
EUR_RUB__TOM,60,20160405,200000,78.7600000,79.1200000,78.7600000,79.0540000,8744000
EUR_RUB__TOM,60,20160405,210000,79.1000000,79.1960000,78.5730000,78.6260000,6086000
EUR_RUB__TOM,60,20160405,220000,78.6200000,78.7350000,78.2500000,78.2800000,5831000
EUR_RUB__TOM,60,20160405,230000,78.2740000,78.5200000,78.2000000,78.5050000,5393000
EUR_RUB__TOM,60,20160406,000000,78.4500000,78.4500000,78.0500000,78.0900000,4316000
EUR_RUB__TOM,60,20160406,110000,77.7240000,78.0260000,77.6000000,77.7910000,44595000
EUR_RUB__TOM,60,20160406,120000,77.7560000,78.0520000,77.7040000,77.8650000,44012000
EUR_RUB__TOM,60,20160406,130000,77.8590000,78.0090000,77.7770000,77.9900000,56485000
EUR_RUB__TOM,60,20160406,140000,78.0000000,78.0200000,77.8500000,77.8620000,21952000
EUR_RUB__TOM,60,20160406,150000,77.8660000,77.9700000,77.8000000,77.8590000,42736000
EUR_RUB__TOM,60,20160406,160000,77.8480000,78.2730000,77.8000000,78.1910000,59466000
EUR_RUB__TOM,60,20160406,170000,78.2110000,78.3000000,78.0240000,78.2280000,34772000
EUR_RUB__TOM,60,20160406,180000,78.2420000,78.3600000,77.6520000,77.6520000,59179000
EUR_RUB__TOM,60,20160406,190000,77.6500000,77.7000000,77.3870000,77.6100000,34061000
EUR_RUB__TOM,60,20160406,200000,77.6130000,77.7410000,77.4310000,77.5750000,8198000
EUR_RUB__TOM,60,20160406,210000,77.5810000,77.6930000,77.5290000,77.5350000,1675000
EUR_RUB__TOM,60,20160406,220000,77.5200000,77.6780000,77.4050000,77.4400000,4835000
EUR_RUB__TOM,60,20160406,230000,77.4990000,77.4990000,77.0700000,77.0910000,10614000
EUR_RUB__TOM,60,20160407,000000,77.0720000,77.0980000,77.0000000,77.0070000,2305000
EUR_RUB__TOM,60,20160407,110000,76.8000000,77.6090000,76.8000000,77.3500000,29553000
EUR_RUB__TOM,60,20160407,120000,77.3160000,77.3160000,76.9000000,77.1100000,29857000
EUR_RUB__TOM,60,20160407,130000,77.0990000,77.4280000,77.0300000,77.3400000,35065000
EUR_RUB__TOM,60,20160407,140000,77.3400000,77.5100000,77.1580000,77.1580000,22803000
EUR_RUB__TOM,60,20160407,150000,77.2120000,77.4250000,77.1380000,77.3770000,34066000
EUR_RUB__TOM,60,20160407,160000,77.3500000,77.4360000,77.2230000,77.3080000,37133000
EUR_RUB__TOM,60,20160407,170000,77.3400000,77.4180000,77.0390000,77.1550000,41836000
EUR_RUB__TOM,60,20160407,180000,77.1350000,77.6850000,77.1330000,77.6600000,56626000
EUR_RUB__TOM,60,20160407,190000,77.6830000,77.8950000,77.5490000,77.5700000,23221000
EUR_RUB__TOM,60,20160407,200000,77.5700000,77.7110000,77.5260000,77.5900000,1357000
EUR_RUB__TOM,60,20160407,210000,77.7000000,77.7000000,77.2700000,77.4530000,5742000
EUR_RUB__TOM,60,20160407,220000,77.4240000,77.6600000,77.4240000,77.6000000,5065000
EUR_RUB__TOM,60,20160407,230000,77.5690000,77.5690000,77.3600000,77.3840000,2008000
EUR_RUB__TOM,60,20160408,000000,77.3910000,77.4350000,77.3100000,77.3800000,1206000
EUR_RUB__TOM,60,20160408,110000,77.1000000,77.2450000,76.4850000,76.6130000,47641000
EUR_RUB__TOM,60,20160408,120000,76.5890000,76.7770000,76.5000000,76.7100000,49282000
EUR_RUB__TOM,60,20160408,130000,76.7020000,76.7550000,76.5330000,76.5670000,28394000
EUR_RUB__TOM,60,20160408,140000,76.5510000,76.6390000,76.4400000,76.4780000,37097000
EUR_RUB__TOM,60,20160408,150000,76.4860000,76.5120000,76.3400000,76.4500000,28103000
EUR_RUB__TOM,60,20160408,160000,76.4300000,76.6410000,76.1200000,76.2740000,83616000
EUR_RUB__TOM,60,20160408,170000,76.2600000,76.6460000,76.1560000,76.5550000,27415000
EUR_RUB__TOM,60,20160408,180000,76.5270000,76.5700000,76.2700000,76.4800000,23700000
EUR_RUB__TOM,60,20160408,190000,76.4790000,76.7500000,76.3410000,76.5740000,15282000
EUR_RUB__TOM,60,20160408,200000,76.5750000,76.7050000,76.4300000,76.5600000,3302000
EUR_RUB__TOM,60,20160408,210000,76.5580000,76.6000000,76.4050000,76.4970000,2290000
EUR_RUB__TOM,60,20160408,220000,76.5620000,76.5720000,76.4170000,76.4960000,252000
EUR_RUB__TOM,60,20160408,230000,76.5000000,76.5490000,76.4660000,76.4660000,120000
EUR_RUB__TOM,60,20160409,000000,76.4720000,76.6200000,76.4480000,76.5380000,917000
EUR_RUB__TOM,60,20160411,110000,76.4750000,76.8330000,76.3320000,76.3340000,26896000
EUR_RUB__TOM,60,20160411,120000,76.3480000,76.4150000,76.2210000,76.3780000,17305000
EUR_RUB__TOM,60,20160411,130000,76.3890000,76.4040000,76.1660000,76.2290000,15481000
EUR_RUB__TOM,60,20160411,140000,76.2470000,76.3500000,75.8990000,75.9840000,39010000
EUR_RUB__TOM,60,20160411,150000,76.0250000,76.1970000,75.9310000,76.1770000,21398000
EUR_RUB__TOM,60,20160411,160000,76.1990000,76.2100000,75.9200000,75.9200000,38571000
EUR_RUB__TOM,60,20160411,170000,75.9230000,76.1900000,75.8630000,76.0400000,50624000
EUR_RUB__TOM,60,20160411,180000,76.0280000,76.4090000,76.0100000,76.4020000,33480000
EUR_RUB__TOM,60,20160411,190000,76.4020000,76.4300000,76.0500000,76.0590000,14617000
EUR_RUB__TOM,60,20160411,200000,76.0490000,76.1330000,75.9630000,76.1000000,5324000
EUR_RUB__TOM,60,20160411,210000,76.1350000,76.1400000,75.9900000,76.0680000,1286000
EUR_RUB__TOM,60,20160411,220000,76.0680000,76.0830000,75.9900000,75.9900000,3712000
EUR_RUB__TOM,60,20160411,230000,75.9900000,76.0970000,75.9000000,76.0830000,2267000
EUR_RUB__TOM,60,20160412,000000,76.0830000,76.2000000,76.0830000,76.1500000,7730000
EUR_RUB__TOM,60,20160412,110000,76.0980000,76.0990000,75.7000000,75.7350000,55714000
EUR_RUB__TOM,60,20160412,120000,75.7290000,75.9550000,75.7050000,75.7840000,48835000
EUR_RUB__TOM,60,20160412,130000,75.7730000,75.8180000,75.7000000,75.7200000,47945000
EUR_RUB__TOM,60,20160412,140000,75.7200000,75.7950000,75.5550000,75.6840000,27722000
EUR_RUB__TOM,60,20160412,150000,75.6800000,75.6800000,75.5100000,75.6400000,35329000
EUR_RUB__TOM,60,20160412,160000,75.6320000,75.6680000,75.3000000,75.3010000,53767000
EUR_RUB__TOM,60,20160412,170000,75.3130000,75.5500000,75.1760000,75.2700000,56981000
EUR_RUB__TOM,60,20160412,180000,75.2480000,75.3800000,74.8400000,75.0090000,56183000
EUR_RUB__TOM,60,20160412,190000,75.0170000,75.1100000,74.7800000,74.8000000,15735000
EUR_RUB__TOM,60,20160412,200000,74.8000000,74.8100000,74.2500000,74.3610000,7622000
EUR_RUB__TOM,60,20160412,210000,74.3800000,74.4850000,74.3200000,74.4000000,658000
EUR_RUB__TOM,60,20160412,220000,74.3470000,74.4460000,74.3000000,74.3490000,907000
EUR_RUB__TOM,60,20160412,230000,74.3200000,74.4240000,74.3000000,74.3670000,353000
EUR_RUB__TOM,60,20160413,000000,74.3730000,74.8480000,74.2670000,74.8000000,6756000
EUR_RUB__TOM,60,20160413,110000,74.9500000,75.1630000,74.4310000,74.4400000,65791000
EUR_RUB__TOM,60,20160413,120000,74.4310000,74.5000000,74.2720000,74.3290000,44568000
EUR_RUB__TOM,60,20160413,130000,74.2760000,74.3050000,73.8950000,73.9100000,31860000
