<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
RBCM,60,20160401,110000,5.4550000,5.6250000,5.3950000,5.5350000,60000
RBCM,60,20160401,120000,5.5200000,5.5200000,5.4700000,5.4700000,7800
RBCM,60,20160401,130000,5.4850000,5.5300000,5.4850000,5.5200000,1500
RBCM,60,20160401,140000,5.4950000,5.5000000,5.4950000,5.5000000,200
RBCM,60,20160401,150000,5.4900000,5.4900000,5.4650000,5.4750000,30700
RBCM,60,20160401,160000,5.4650000,5.5200000,5.4600000,5.5200000,44200
RBCM,60,20160401,170000,5.5200000,5.5450000,5.4750000,5.4800000,59800
RBCM,60,20160401,180000,5.4950000,5.5600000,5.4700000,5.5500000,43200
RBCM,60,20160401,190000,5.5550000,5.6000000,5.5400000,5.5500000,56900
RBCM,60,20160404,110000,5.5650000,5.5850000,5.5150000,5.5250000,4200
RBCM,60,20160404,120000,5.5400000,5.5600000,5.5300000,5.5300000,500
RBCM,60,20160404,130000,5.5450000,5.5650000,5.5300000,5.5450000,1700
RBCM,60,20160404,140000,5.5300000,5.5550000,5.5250000,5.5300000,2900
RBCM,60,20160404,150000,5.5300000,5.5300000,5.5000000,5.5000000,5900
RBCM,60,20160404,160000,5.5100000,5.5100000,5.5000000,5.5050000,2600
RBCM,60,20160404,170000,5.5100000,5.5200000,5.5100000,5.5200000,800
RBCM,60,20160404,180000,5.5100000,5.5100000,5.4450000,5.4750000,68800
RBCM,60,20160404,190000,5.4900000,5.5050000,5.4750000,5.5050000,6800
RBCM,60,20160405,110000,5.4550000,5.4950000,5.4450000,5.4550000,13000
RBCM,60,20160405,120000,5.4550000,5.5500000,5.4400000,5.5100000,39700
RBCM,60,20160405,130000,5.5000000,5.5300000,5.5000000,5.5300000,2200
RBCM,60,20160405,140000,5.5100000,5.5650000,5.5100000,5.5500000,144900
RBCM,60,20160405,150000,5.5450000,5.5450000,5.5250000,5.5250000,16200
RBCM,60,20160405,170000,5.5250000,5.5250000,5.5100000,5.5100000,10300
RBCM,60,20160405,180000,5.5150000,5.5450000,5.5050000,5.5450000,13900
RBCM,60,20160405,190000,5.5150000,5.5150000,5.5000000,5.5100000,16200
RBCM,60,20160406,110000,5.5050000,5.6100000,5.4850000,5.5250000,125500
RBCM,60,20160406,120000,5.5350000,5.6300000,5.5100000,5.6100000,57000
RBCM,60,20160406,130000,5.6000000,6.1500000,5.6000000,6.0200000,1567700
RBCM,60,20160406,140000,5.9800000,6.0350000,5.9200000,5.9200000,110100
RBCM,60,20160406,150000,5.9150000,5.9300000,5.9000000,5.9050000,106400
RBCM,60,20160406,160000,5.9000000,5.9250000,5.8100000,5.8200000,80600
RBCM,60,20160406,170000,5.8200000,5.8850000,5.7900000,5.7900000,51700
RBCM,60,20160406,180000,5.8200000,5.8700000,5.8000000,5.8700000,23900
RBCM,60,20160406,190000,5.8600000,5.8750000,5.7400000,5.7600000,79500
RBCM,60,20160407,110000,5.7500000,5.8800000,5.6000000,5.7500000,116600
RBCM,60,20160407,120000,5.6950000,5.7300000,5.5800000,5.6500000,95400
RBCM,60,20160407,130000,5.6900000,5.7350000,5.6750000,5.7350000,14700
RBCM,60,20160407,140000,5.6850000,5.6850000,5.6650000,5.6650000,5000
RBCM,60,20160407,150000,5.6700000,5.6900000,5.6500000,5.6700000,1300
RBCM,60,20160407,160000,5.6650000,5.9750000,5.6150000,5.7900000,168600
RBCM,60,20160407,170000,5.8300000,5.8300000,5.7300000,5.7300000,23800
RBCM,60,20160407,180000,5.7300000,5.7950000,5.7000000,5.7300000,25500
RBCM,60,20160407,190000,5.7300000,5.7300000,5.6950000,5.7050000,10400
RBCM,60,20160408,110000,5.7950000,5.8000000,5.7400000,5.7750000,31400
RBCM,60,20160408,120000,5.7650000,5.7800000,5.7650000,5.7800000,1100
RBCM,60,20160408,130000,5.7600000,5.7950000,5.7200000,5.7600000,28400
RBCM,60,20160408,140000,5.7550000,5.7600000,5.7550000,5.7600000,4400
RBCM,60,20160408,150000,5.7550000,5.7550000,5.7500000,5.7500000,1200
RBCM,60,20160408,160000,5.7700000,5.7750000,5.7150000,5.7150000,27500
RBCM,60,20160408,170000,5.7600000,5.7800000,5.7600000,5.7800000,2500
RBCM,60,20160408,180000,5.7800000,5.7800000,5.7100000,5.7300000,40600
RBCM,60,20160408,190000,5.7450000,5.7800000,5.7300000,5.7600000,38200
RBCM,60,20160411,110000,5.7700000,5.8200000,5.7600000,5.8100000,2000
RBCM,60,20160411,120000,5.8150000,6.1000000,5.8150000,6.0000000,110600
RBCM,60,20160411,130000,6.0200000,6.1200000,6.0000000,6.0000000,162300
RBCM,60,20160411,140000,6.0000000,6.0000000,5.9000000,5.9150000,89300
RBCM,60,20160411,150000,5.9300000,5.9550000,5.9200000,5.9200000,1700
RBCM,60,20160411,160000,5.9350000,5.9650000,5.9350000,5.9500000,2600
RBCM,60,20160411,170000,5.9550000,5.9650000,5.8850000,5.8850000,39700
RBCM,60,20160411,180000,5.9200000,5.9500000,5.7300000,5.8000000,452100
RBCM,60,20160411,190000,5.8100000,5.8400000,5.8000000,5.8050000,16300
RBCM,60,20160412,110000,5.8400000,5.8600000,5.7900000,5.8000000,41600
RBCM,60,20160412,120000,5.8000000,5.8100000,5.7000000,5.7650000,133300
RBCM,60,20160412,130000,5.7700000,5.8000000,5.7700000,5.8000000,19500
RBCM,60,20160412,140000,5.7850000,5.7850000,5.7650000,5.7700000,4500
RBCM,60,20160412,150000,5.7800000,5.7900000,5.7700000,5.7700000,1400
RBCM,60,20160412,160000,5.7650000,5.8000000,5.6050000,5.6050000,58800
RBCM,60,20160412,170000,5.7400000,5.7550000,5.6350000,5.7250000,54100
RBCM,60,20160412,180000,5.7200000,5.7200000,5.6900000,5.7200000,6400
RBCM,60,20160412,190000,5.7200000,5.7700000,5.7200000,5.7700000,11200
RBCM,60,20160413,110000,5.7700000,5.7700000,5.7450000,5.7450000,3000
RBCM,60,20160413,120000,5.7600000,5.7900000,5.7600000,5.7850000,2100
RBCM,60,20160413,130000,5.7650000,5.7650000,5.7250000,5.7250000,6200
RBCM,60,20160413,140000,5.7300000,5.7300000,5.7100000,5.7200000,11600
RBCM,60,20160413,150000,5.7200000,5.7550000,5.7200000,5.7200000,14000
RBCM,60,20160413,160000,5.7350000,5.7600000,5.7350000,5.7550000,1200
RBCM,60,20160413,170000,5.7400000,5.7550000,5.7300000,5.7550000,60900
RBCM,60,20160413,180000,5.7450000,5.7600000,5.7300000,5.7600000,25800
RBCM,60,20160413,190000,5.7600000,5.7750000,5.7300000,5.7600000,19200
