<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
ROSN,60,20160401,110000,302.7500000,304.9500000,302.5500000,303.2000000,497600
ROSN,60,20160401,120000,303.0000000,303.0000000,299.8500000,301.0000000,535360
ROSN,60,20160401,130000,300.9000000,301.4000000,299.1000000,299.3500000,663200
ROSN,60,20160401,140000,299.2500000,299.9500000,298.1000000,299.0000000,533290
ROSN,60,20160401,150000,299.0500000,299.7500000,298.3500000,299.1000000,274010
ROSN,60,20160401,160000,299.0500000,299.5000000,297.2500000,298.5000000,585140
ROSN,60,20160401,170000,298.5000000,299.5500000,297.2000000,298.9000000,593150
ROSN,60,20160401,180000,298.9500000,301.8000000,298.6000000,301.6000000,618020
ROSN,60,20160401,190000,301.5000000,302.0000000,301.2500000,301.8000000,513650
ROSN,60,20160404,110000,300.9500000,302.3000000,299.8500000,301.5000000,581490
ROSN,60,20160404,120000,301.5000000,302.3500000,300.5000000,300.9500000,430940
ROSN,60,20160404,130000,301.0000000,304.9500000,300.4000000,303.9000000,734710
ROSN,60,20160404,140000,303.9500000,305.7500000,303.5500000,305.4500000,647730
ROSN,60,20160404,150000,305.5500000,306.6500000,303.5500000,304.7500000,626110
ROSN,60,20160404,160000,305.0500000,305.9000000,304.0000000,305.4000000,319070
ROSN,60,20160404,170000,305.5500000,308.8500000,304.6000000,308.8000000,1355370
ROSN,60,20160404,180000,308.8000000,310.0000000,308.4500000,309.2500000,1426400
ROSN,60,20160404,190000,309.2500000,309.5000000,307.9000000,309.5000000,525550
ROSN,60,20160405,110000,307.4500000,308.3500000,305.0000000,306.1500000,758140
ROSN,60,20160405,120000,306.0500000,307.6500000,305.1500000,307.5500000,310250
ROSN,60,20160405,130000,307.5500000,307.8000000,305.6500000,306.5000000,283290
ROSN,60,20160405,140000,306.4500000,306.7500000,305.3500000,306.4000000,287720
ROSN,60,20160405,150000,306.3500000,306.4000000,305.0500000,305.6000000,217250
ROSN,60,20160405,160000,305.6500000,305.9000000,305.0500000,305.3500000,126360
ROSN,60,20160405,170000,305.3500000,306.5000000,305.2000000,305.4500000,270660
ROSN,60,20160405,180000,305.4500000,306.0500000,305.0500000,305.3000000,382640
ROSN,60,20160405,190000,305.3000000,306.2500000,305.2000000,306.2000000,188220
ROSN,60,20160406,110000,307.9500000,311.3000000,306.9000000,310.6500000,922700
ROSN,60,20160406,120000,310.5500000,311.3000000,309.3500000,310.9000000,572220
ROSN,60,20160406,130000,310.9000000,311.5000000,308.6000000,308.8500000,411870
ROSN,60,20160406,140000,308.9000000,309.0000000,308.0500000,308.5000000,140720
ROSN,60,20160406,150000,308.5000000,309.7500000,308.2000000,308.9000000,195200
ROSN,60,20160406,160000,309.1000000,309.3500000,306.4500000,306.6000000,275850
ROSN,60,20160406,170000,306.5500000,308.0500000,306.2500000,307.3000000,151790
ROSN,60,20160406,180000,307.3000000,309.5500000,306.4500000,309.0000000,392790
ROSN,60,20160406,190000,309.0000000,311.0000000,308.9000000,309.0500000,760700
ROSN,60,20160407,110000,310.2000000,312.9000000,309.1500000,309.9000000,505710
ROSN,60,20160407,120000,309.8500000,311.3000000,309.5000000,310.7000000,423250
ROSN,60,20160407,130000,310.7000000,310.8500000,308.1000000,308.5000000,306740
ROSN,60,20160407,140000,308.5000000,308.5500000,306.8000000,307.4000000,276860
ROSN,60,20160407,150000,307.3500000,308.6500000,307.0000000,307.3500000,314150
ROSN,60,20160407,160000,307.2000000,308.4000000,306.0500000,308.0500000,731300
ROSN,60,20160407,170000,307.9500000,308.0500000,306.5000000,306.8500000,377290
ROSN,60,20160407,180000,306.8500000,307.1500000,305.4000000,306.1000000,604390
ROSN,60,20160407,190000,306.1000000,306.9000000,303.9000000,306.8000000,825200
ROSN,60,20160408,110000,306.8000000,307.7500000,306.0000000,307.0500000,606390
ROSN,60,20160408,120000,307.0000000,309.6500000,307.0000000,309.5000000,519720
ROSN,60,20160408,130000,309.5000000,312.7500000,309.5000000,312.3000000,1032840
ROSN,60,20160408,140000,312.3000000,313.2000000,311.2500000,312.9500000,656890
ROSN,60,20160408,150000,312.9500000,313.2000000,311.3000000,312.3500000,316970
ROSN,60,20160408,160000,312.4500000,313.2000000,311.7000000,312.9500000,337480
