<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
USBN,60,20160401,110000,0.0973000,0.0973000,0.0946000,0.0951000,1100000
USBN,60,20160401,120000,0.0950000,0.0950000,0.0946000,0.0946000,500000
USBN,60,20160401,130000,0.0950000,0.0951000,0.0935000,0.0935000,1060000
USBN,60,20160401,140000,0.0942000,0.0945000,0.0940000,0.0945000,970000
USBN,60,20160401,150000,0.0951000,0.0954000,0.0943000,0.0944000,760000
USBN,60,20160401,160000,0.0952000,0.0952000,0.0952000,0.0952000,10000
USBN,60,20160401,170000,0.0943000,0.0954000,0.0936000,0.0950000,680000
USBN,60,20160401,180000,0.0949000,0.0949000,0.0949000,0.0949000,50000
USBN,60,20160401,190000,0.0949000,0.0949000,0.0938000,0.0949000,400000
USBN,60,20160404,110000,0.0950000,0.0950000,0.0943000,0.0943000,110000
USBN,60,20160404,120000,0.0949000,0.0949000,0.0933000,0.0942000,1190000
USBN,60,20160404,130000,0.0937000,0.0939000,0.0937000,0.0937000,590000
USBN,60,20160404,140000,0.0937000,0.0937000,0.0937000,0.0937000,130000
USBN,60,20160404,150000,0.0936000,0.0941000,0.0936000,0.0937000,70000
USBN,60,20160404,160000,0.0941000,0.0941000,0.0941000,0.0941000,400000
USBN,60,20160404,170000,0.0938000,0.0940000,0.0938000,0.0938000,40000
USBN,60,20160404,180000,0.0940000,0.0940000,0.0937000,0.0939000,210000
USBN,60,20160404,190000,0.0937000,0.0937000,0.0920000,0.0934000,2930000
USBN,60,20160405,110000,0.0935000,0.0935000,0.0935000,0.0935000,30000
USBN,60,20160405,120000,0.0933000,0.0934000,0.0922000,0.0933000,980000
USBN,60,20160405,130000,0.0924000,0.0930000,0.0922000,0.0930000,170000
USBN,60,20160405,140000,0.0930000,0.0934000,0.0930000,0.0930000,1030000
USBN,60,20160405,160000,0.0926000,0.0926000,0.0925000,0.0925000,100000
USBN,60,20160405,170000,0.0925000,0.0925000,0.0925000,0.0925000,60000
USBN,60,20160405,180000,0.0925000,0.0927000,0.0922000,0.0926000,360000
USBN,60,20160405,190000,0.0924000,0.0927000,0.0922000,0.0927000,110000
USBN,60,20160406,110000,0.0933000,0.0940000,0.0933000,0.0935000,210000
USBN,60,20160406,120000,0.0934000,0.0937000,0.0926000,0.0935000,810000
USBN,60,20160406,130000,0.0927000,0.0937000,0.0924000,0.0928000,250000
USBN,60,20160406,140000,0.0936000,0.0937000,0.0923000,0.0923000,990000
USBN,60,20160406,150000,0.0923000,0.0932000,0.0923000,0.0932000,1150000
USBN,60,20160406,160000,0.0925000,0.0938000,0.0925000,0.0928000,2800000
USBN,60,20160406,170000,0.0927000,0.0932000,0.0925000,0.0932000,1980000
USBN,60,20160406,180000,0.0924000,0.0935000,0.0924000,0.0935000,30000
USBN,60,20160406,190000,0.0924000,0.0924000,0.0923000,0.0923000,370000
USBN,60,20160407,110000,0.0943000,0.0943000,0.0927000,0.0927000,130000
USBN,60,20160407,120000,0.0927000,0.0927000,0.0921000,0.0921000,340000
USBN,60,20160407,130000,0.0927000,0.0930000,0.0927000,0.0930000,2930000
USBN,60,20160407,140000,0.0923000,0.0923000,0.0921000,0.0921000,80000
USBN,60,20160407,150000,0.0922000,0.0929000,0.0921000,0.0925000,1070000
USBN,60,20160407,160000,0.0925000,0.0925000,0.0925000,0.0925000,840000
USBN,60,20160407,170000,0.0927000,0.0928000,0.0927000,0.0928000,30000
USBN,60,20160407,180000,0.0922000,0.0929000,0.0921000,0.0926000,420000
USBN,60,20160408,110000,0.0929000,0.0945000,0.0929000,0.0939000,2060000
USBN,60,20160408,120000,0.0938000,0.0944000,0.0931000,0.0936000,1190000
USBN,60,20160408,130000,0.0944000,0.0947000,0.0933000,0.0943000,1350000
USBN,60,20160408,150000,0.0935000,0.0935000,0.0933000,0.0933000,510000
USBN,60,20160408,160000,0.0941000,0.0941000,0.0933000,0.0941000,60000
USBN,60,20160408,170000,0.0934000,0.0942000,0.0933000,0.0934000,330000
USBN,60,20160408,180000,0.0935000,0.0935000,0.0933000,0.0933000,30000
USBN,60,20160408,190000,0.0941000,0.0941000,0.0932000,0.0937000,140000
USBN,60,20160411,110000,0.0945000,0.0945000,0.0933000,0.0941000,330000
USBN,60,20160411,120000,0.0933000,0.0933000,0.0933000,0.0933000,150000
USBN,60,20160411,130000,0.0926000,0.0939000,0.0926000,0.0939000,160000
USBN,60,20160411,140000,0.0938000,0.0938000,0.0938000,0.0938000,10000
USBN,60,20160411,150000,0.0930000,0.0932000,0.0917000,0.0925000,1430000
USBN,60,20160411,160000,0.0930000,0.0930000,0.0929000,0.0929000,200000
USBN,60,20160411,170000,0.0932000,0.0947000,0.0929000,0.0941000,3500000
