<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
YKENP,60,20160401,110000,0.3200000,0.3300000,0.3100000,0.3290000,3290000
YKENP,60,20160401,120000,0.3250000,0.3250000,0.3100000,0.3190000,1220000
YKENP,60,20160401,130000,0.3230000,0.3350000,0.3230000,0.3350000,3600000
YKENP,60,20160401,140000,0.3350000,0.3400000,0.3350000,0.3390000,80000
YKENP,60,20160401,160000,0.3340000,0.3390000,0.3340000,0.3390000,80000
YKENP,60,20160401,170000,0.3280000,0.3350000,0.3200000,0.3200000,480000
YKENP,60,20160401,180000,0.3300000,0.3340000,0.3290000,0.3300000,640000
YKENP,60,20160401,190000,0.3300000,0.3370000,0.3300000,0.3370000,120000
YKENP,60,20160404,110000,0.3400000,0.3680000,0.3400000,0.3480000,1690000
YKENP,60,20160404,120000,0.3420000,0.3460000,0.3350000,0.3460000,240000
YKENP,60,20160404,130000,0.3480000,0.3580000,0.3480000,0.3580000,510000
YKENP,60,20160404,140000,0.3590000,0.3990000,0.3550000,0.3900000,2150000
YKENP,60,20160404,150000,0.3880000,0.3900000,0.3700000,0.3760000,980000
YKENP,60,20160404,160000,0.3770000,0.3770000,0.3760000,0.3760000,60000
YKENP,60,20160404,170000,0.3760000,0.3760000,0.3760000,0.3760000,150000
YKENP,60,20160404,180000,0.3700000,0.3760000,0.3550000,0.3600000,510000
YKENP,60,20160404,190000,0.3730000,0.3850000,0.3730000,0.3850000,890000
YKENP,60,20160405,110000,0.3860000,0.3940000,0.3550000,0.3700000,760000
YKENP,60,20160405,120000,0.3680000,0.3800000,0.3660000,0.3700000,90000
YKENP,60,20160405,130000,0.3640000,0.3730000,0.3640000,0.3730000,60000
YKENP,60,20160405,150000,0.3640000,0.3640000,0.3550000,0.3570000,300000
YKENP,60,20160405,160000,0.3600000,0.3610000,0.3600000,0.3600000,50000
YKENP,60,20160405,170000,0.3570000,0.3570000,0.3350000,0.3430000,460000
YKENP,60,20160405,180000,0.3440000,0.3450000,0.3390000,0.3390000,70000
YKENP,60,20160405,190000,0.3470000,0.3570000,0.3380000,0.3570000,360000
YKENP,60,20160406,110000,0.3740000,0.3740000,0.3370000,0.3400000,660000
YKENP,60,20160406,120000,0.3420000,0.3420000,0.3410000,0.3410000,20000
YKENP,60,20160406,130000,0.3500000,0.3560000,0.3500000,0.3560000,630000
YKENP,60,20160406,140000,0.3570000,0.3600000,0.3570000,0.3600000,120000
YKENP,60,20160406,160000,0.3580000,0.3590000,0.3580000,0.3590000,140000
YKENP,60,20160406,180000,0.3500000,0.3500000,0.3400000,0.3400000,400000
YKENP,60,20160406,190000,0.3400000,0.3420000,0.3400000,0.3420000,40000
YKENP,60,20160407,110000,0.3640000,0.3740000,0.3520000,0.3530000,70000
YKENP,60,20160407,120000,0.3430000,0.3430000,0.3430000,0.3430000,10000
YKENP,60,20160407,130000,0.3420000,0.3420000,0.3420000,0.3420000,10000
YKENP,60,20160407,150000,0.3480000,0.3510000,0.3480000,0.3510000,150000
YKENP,60,20160407,170000,0.3430000,0.3430000,0.3200000,0.3200000,1440000
