<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
YNDX,1,20160301,100100,975.5000000,977.0000000,975.5000000,975.5000000,2203
YNDX,1,20160301,100200,976.0000000,977.0000000,976.0000000,977.0000000,318
YNDX,1,20160301,100300,977.0000000,977.5000000,976.5000000,976.5000000,804
YNDX,1,20160301,100400,976.5000000,977.5000000,976.0000000,976.0000000,114
YNDX,1,20160301,100500,976.5000000,977.5000000,976.5000000,977.5000000,104
YNDX,1,20160301,100600,977.0000000,977.5000000,976.5000000,977.0000000,617
YNDX,1,20160301,100700,977.0000000,977.5000000,976.5000000,976.5000000,801
YNDX,1,20160301,100800,977.0000000,977.5000000,976.5000000,976.5000000,259
YNDX,1,20160301,100900,977.5000000,977.5000000,977.5000000,977.5000000,110
YNDX,1,20160301,101100,977.5000000,977.5000000,977.5000000,977.5000000,259
YNDX,1,20160301,101200,977.5000000,977.5000000,977.5000000,977.5000000,21
YNDX,1,20160301,101300,978.0000000,978.0000000,978.0000000,978.0000000,14
YNDX,1,20160301,101400,978.0000000,978.0000000,977.0000000,977.5000000,1101
YNDX,1,20160301,101500,978.0000000,978.0000000,977.5000000,977.5000000,79
YNDX,1,20160301,101600,978.0000000,978.0000000,978.0000000,978.0000000,70
YNDX,1,20160301,101700,977.5000000,978.0000000,977.5000000,977.5000000,159
YNDX,1,20160301,101800,978.0000000,979.0000000,978.0000000,979.0000000,1424
YNDX,1,20160301,101900,979.0000000,979.0000000,979.0000000,979.0000000,111
YNDX,1,20160301,102000,979.0000000,979.0000000,978.0000000,978.0000000,913
YNDX,1,20160301,102100,978.0000000,978.0000000,978.0000000,978.0000000,61
YNDX,1,20160301,102200,978.0000000,978.0000000,977.5000000,977.5000000,4
YNDX,1,20160301,102300,978.0000000,978.0000000,978.0000000,978.0000000,53
YNDX,1,20160301,102400,978.0000000,978.0000000,977.5000000,978.0000000,234
YNDX,1,20160301,102500,978.0000000,978.5000000,977.5000000,978.5000000,248
YNDX,1,20160301,102600,977.5000000,978.5000000,977.5000000,978.5000000,320
YNDX,1,20160301,102700,977.5000000,978.0000000,977.5000000,977.5000000,274
YNDX,1,20160301,102800,978.0000000,978.5000000,977.5000000,977.5000000,307
YNDX,1,20160301,102900,977.5000000,978.5000000,977.5000000,977.5000000,130
YNDX,1,20160301,103000,977.5000000,978.5000000,977.5000000,977.5000000,137
YNDX,1,20160301,103100,978.5000000,978.5000000,976.5000000,976.5000000,599
YNDX,1,20160301,103200,977.0000000,977.0000000,977.0000000,977.0000000,7
YNDX,1,20160301,103300,977.0000000,978.0000000,977.0000000,978.0000000,31
YNDX,1,20160301,103400,979.5000000,980.0000000,979.0000000,979.0000000,402
YNDX,1,20160301,103500,982.0000000,984.0000000,982.0000000,984.0000000,1952
YNDX,1,20160301,103600,982.0000000,984.0000000,982.0000000,984.0000000,290
